TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
1.24E-03,-1.01,-0.97,0.54,0.56
1.24E-03,-1.01,-1.01,0.54,0.5
1.24E-03,-0.99,-0.99,0.52,0.56
1.24E-03,-1.01,-1.03,0.54,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-0.99,-1.03,0.54,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-1.01,-1.01,0.54,0.5
1.24E-03,-1.01,-0.97,0.52,0.54
1.24E-03,-0.99,-1.03,0.52,0.5
1.24E-03,-1.01,-0.99,0.52,0.54
1.24E-03,-1.01,-1.03,0.56,0.5
1.24E-03,-0.99,-0.97,0.54,0.56
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-1.03,-0.99,0.54,0.56
1.24E-03,-1.03,-1.03,0.52,0.5
1.24E-03,-1.01,-0.99,0.54,0.56
1.24E-03,-0.99,-1.03,0.54,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-0.99,-1.01,0.52,0.5
1.24E-03,-0.99,-0.99,0.52,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-1.01,-1.01,0.54,0.5
1.24E-03,-1.01,-0.97,0.52,0.56
1.24E-03,-1.01,-1.03,0.54,0.5
1.24E-03,-0.99,-0.97,0.54,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-0.99,-0.99,0.54,0.56
1.24E-03,-0.99,-1.01,0.52,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-0.99,-1.01,0.54,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-1.01,-0.97,0.52,0.54
1.24E-03,-0.99,-1.01,0.54,0.5
1.24E-03,-1.01,-0.97,0.52,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-0.99,-0.97,0.52,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-1.01,-0.99,0.52,0.54
1.24E-03,-0.99,-1.01,0.54,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-0.99,-1.03,0.52,0.5
1.24E-03,-0.99,-0.97,0.52,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-0.99,-0.97,0.54,0.54
1.24E-03,-1.01,-1.03,0.54,0.5
1.24E-03,-1.01,-0.99,0.52,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-0.99,-0.97,0.54,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-1.01,-0.99,0.52,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-0.99,-0.97,0.5,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-0.99,-0.99,0.52,0.54
1.24E-03,-1.01,-1.03,0.54,0.5
1.24E-03,-1.01,-0.97,0.52,0.52
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-0.99,-0.99,0.54,0.56
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-0.99,-0.99,0.52,0.54
1.24E-03,-0.99,-1.01,0.52,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-0.99,-1.03,0.52,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-0.99,-0.97,0.54,0.54
1.24E-03,-1.01,-1.03,0.54,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-1.01,-1.03,0.54,0.5
1.24E-03,-1.01,-0.99,0.52,0.54
1.24E-03,-1.01,-1.01,0.54,0.5
1.24E-03,-1.03,-0.99,0.52,0.54
1.24E-03,-1.01,-1.03,0.52,0.52
1.24E-03,-1.01,-0.99,0.52,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-1.01,-0.97,0.52,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-0.99,-1.01,0.52,0.5
1.24E-03,-1.01,-0.97,0.52,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-0.99,-1.01,0.52,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-0.99,-0.97,0.52,0.54
1.24E-03,-0.99,-1.01,0.54,0.5
1.24E-03,-0.99,-0.99,0.52,0.54
1.24E-03,-1.03,-1.01,0.54,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-1.01,-0.99,0.52,0.54
1.24E-03,-0.99,-1.01,0.52,0.5
1.24E-03,-0.99,-0.99,0.54,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-1.01,-0.99,0.52,0.54
1.24E-03,-0.99,-1.03,0.52,0.5
1.24E-03,-1.01,-0.99,0.52,0.54
1.24E-03,-1.01,-1.03,0.54,0.5
1.24E-03,-1.01,-0.99,0.52,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-0.99,-0.97,0.52,0.54
1.24E-03,-1.01,-1.03,0.52,0.48
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-1.01,-1.01,0.54,0.48
1.24E-03,-1.01,-0.99,0.52,0.54
1.24E-03,-1.01,-1.03,0.54,0.48
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-1.01,-1.01,0.52,0.48
1.24E-03,-0.99,-0.97,0.52,0.54
1.24E-03,-0.99,-1.01,0.52,0.5
1.24E-03,-1.01,-0.97,0.52,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-1.01,-0.97,0.52,0.54
1.24E-03,-0.99,-1.03,0.52,0.5
1.24E-03,-1.01,-0.97,0.52,0.54
1.24E-03,-1.01,-1.01,0.52,0.48
1.24E-03,-1.03,-0.97,0.54,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-1.01,-0.97,0.52,0.54
1.24E-03,-1.01,-1.01,0.52,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-1.01,-0.99,0.54,0.54
1.24E-03,-1.01,-1.01,0.54,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-0.99,-1.01,0.52,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-1.01,-1.01,0.54,0.5
1.24E-03,-0.99,-0.97,0.54,0.54
1.24E-03,-0.99,-1.01,0.52,0.5
1.24E-03,-0.99,-0.97,0.54,0.54
1.24E-03,-1.03,-1.01,0.52,0.5
1.24E-03,-0.99,-0.97,0.54,0.54
1.24E-03,-1.01,-1.03,0.54,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-1.01,-1.01,0.54,0.5
1.24E-03,-1.01,-0.97,0.54,0.54
1.24E-03,-0.99,-1.01,0.54,0.5
1.24E-03,-1.01,-0.99,0.52,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-1.01,-0.97,0.52,0.54
1.24E-03,-1.03,-1.03,0.52,0.5
1.24E-03,-0.99,-0.97,0.52,0.54
1.24E-03,-1.01,-1.03,0.52,0.5
1.24E-03,-1.01,-0.99,0.52,0.54
1.25E-03,-1.01,-1.03,0.52,0.5
1.25E-03,-0.99,-0.99,0.54,0.54
1.25E-03,-1.01,-1.03,0.52,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.56
1.25E-03,-0.99,-1.01,0.5,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-1.01,-0.99,0.54,0.54
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.52,0.52
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-0.97,-1.01,0.52,0.5
1.25E-03,-0.99,-0.99,0.52,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-1.01,-1.03,0.52,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-0.99,-1.03,0.54,0.5
1.25E-03,-1.01,-0.99,0.52,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-1.01,-1.01,0.52,0.52
1.25E-03,-0.99,-0.97,0.54,0.56
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-1.01,-1.03,0.52,0.5
1.25E-03,-1.01,-0.99,0.54,0.54
1.25E-03,-1.01,-1.03,0.54,0.5
1.25E-03,-1.01,-0.99,0.52,0.54
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-0.99,-1.01,0.5,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-0.99,-1.03,0.52,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.52,0.56
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-0.99,-0.99,0.54,0.54
1.25E-03,-1.01,-1.01,0.52,0.52
1.25E-03,-0.99,-0.97,0.54,0.56
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.52,0.52
1.25E-03,-0.97,-0.99,0.54,0.54
1.25E-03,-1.01,-1.01,0.56,0.5
1.25E-03,-0.99,-0.97,0.52,0.56
1.25E-03,-1.01,-1.03,0.54,0.5
1.25E-03,-0.99,-0.97,0.52,0.56
1.25E-03,-1.01,-1.03,0.52,0.52
1.25E-03,-1.03,-0.97,0.54,0.54
1.25E-03,-1.01,-1.03,0.52,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-1.01,-1.03,0.52,0.5
1.25E-03,-1.01,-0.99,0.54,0.54
1.25E-03,-0.99,-1.03,0.54,0.5
1.25E-03,-0.99,-0.99,0.52,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.52,0.56
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.99,0.54,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-1.01,-1.03,0.54,0.5
1.25E-03,-1.01,-0.97,0.56,0.56
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.52,0.56
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.56
1.25E-03,-0.97,-1.01,0.54,0.52
1.25E-03,-1.01,-0.97,0.52,0.56
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-1.01,-1.03,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.52,0.56
1.25E-03,-0.99,-1.03,0.54,0.52
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.56,0.54
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.52,0.56
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.56
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.52,0.52
1.25E-03,-1.01,-0.97,0.54,0.56
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-1.01,-1.03,0.54,0.52
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-0.97,-1.01,0.54,0.5
1.25E-03,-1.01,-0.95,0.54,0.56
1.25E-03,-1.03,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.52,0.56
1.25E-03,-0.99,-1.03,0.52,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-1.01,-1.03,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-1.01,-1.01,0.54,0.52
1.25E-03,-0.99,-0.97,0.52,0.56
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.56
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-0.99,-1.03,0.52,0.5
1.25E-03,-0.99,-0.97,0.54,0.56
1.25E-03,-1.03,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.54,0.56
1.25E-03,-1.01,-1.03,0.54,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-0.99,-0.99,0.54,0.56
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.56
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.99,0.54,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-1.01,-1.03,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-0.99,-1.03,0.52,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-1.01,-1.03,0.52,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.56,0.5
1.25E-03,-0.99,-0.99,0.54,0.54
1.25E-03,-0.99,-1.03,0.54,0.52
1.25E-03,-1.01,-0.97,0.52,0.56
1.25E-03,-1.01,-1.01,0.54,0.52
1.25E-03,-0.99,-0.97,0.52,0.56
1.25E-03,-0.99,-1.03,0.52,0.52
1.25E-03,-0.99,-0.99,0.52,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.52,0.52
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.52,0.56
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-0.99,-1.03,0.54,0.52
1.25E-03,-1.01,-0.97,0.54,0.56
1.25E-03,-0.99,-1.03,0.54,0.52
1.25E-03,-1.01,-0.97,0.54,0.56
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-0.99,-0.99,0.52,0.54
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-1.01,-0.99,0.52,0.56
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.56,0.56
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.56
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.52,0.56
1.25E-03,-1.01,-1.01,0.54,0.52
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.54,0.52
1.25E-03,-1.01,-0.97,0.54,0.56
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-0.99,-1.03,0.54,0.5
1.25E-03,-0.99,-0.97,0.52,0.56
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.56
1.25E-03,-0.99,-1.03,0.54,0.52
1.25E-03,-1.01,-0.97,0.54,0.56
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.52,0.54
1.25E-03,-0.99,-1.01,0.52,0.52
1.25E-03,-1.01,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-1.01,-0.99,0.54,0.54
1.25E-03,-0.99,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-1.01,-1.03,0.54,0.52
1.25E-03,-1.01,-0.97,0.52,0.56
1.25E-03,-1.01,-1.01,0.54,0.52
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.54,0.56
1.25E-03,-0.99,-1.01,0.54,0.5
1.25E-03,-0.99,-0.99,0.52,0.54
1.25E-03,-0.99,-1.03,0.52,0.52
1.25E-03,-1.01,-0.99,0.52,0.54
1.25E-03,-1.03,-1.01,0.52,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-0.99,-1.03,0.54,0.5
1.25E-03,-1.01,-0.99,0.52,0.54
1.25E-03,-0.99,-1.03,0.52,0.5
1.25E-03,-0.99,-0.99,0.54,0.54
1.25E-03,-1.01,-1.01,0.54,0.5
1.25E-03,-1.01,-0.97,0.52,0.54
1.25E-03,-1.01,-1.03,0.54,0.5
1.25E-03,-0.99,-0.97,0.54,0.54
1.25E-03,-0.99,-1.01,0.54,0.52
1.25E-03,-0.99,-0.99,0.52,0.54
